,banco,fecha,texto,src,rt,fav,country,type,place,desde,sigue_a,lo_siguen
37,bbva,2020-10-17 18:15:31,DocsMX vivepanasonic BBVA_Mex imcine Ya fui varias veces y no puedo ver nada :(,Twitter for Android,0,0,,,,2013-05-27 22:18:13,470,155
38,bbva,2020-10-17 18:15:10,"Se rompen las negociaciones entre BBVA, Sabadell y Kutxabank para una posible fusión https://t.co/UZz6ZzUK7c",Twitter Web App,0,0,,,,2012-07-15 18:11:20,48,63
39,bbva,2020-10-17 18:14:55,"Comunicar de forma transparente, clara y responsable beneficia a organizaciones y a  personas. Además, facilita la vida a clientes y usuarios. https://t.co/VWCI0h0l9F  BBVA LenguajeClaro EnClaro2020",Twitter for iPhone,3,0,,,,2012-08-14 14:25:13,1381,2235
42,bbva,2020-10-17 18:14:31,"ScotiabankMX scotiabank no funciona y no me dan soluciones ni vía telefónica y ni en sucursal, ayer estuve desde las 11 hasta las 5 intentando dar solución, hoy volví a sucursal y sigo sin tener solución, BBVA por el contrario le da excelente servicio a mi esposo, me cambiaré a ese banco.",Twitter for Android,0,0,,,,2020-05-30 21:32:43,19,1
49,bbva,2020-10-17 18:13:03,MilkaTrujillo Ay eso hago también yo con la bbva de mi mamá hago eso jajaja,Twitter for iPhone,0,0,,,,2011-08-27 01:06:18,611,449
54,bbva,2020-10-17 18:11:52,"Fusión Santander BBVA…, y mas historia de una ambición sin escrúpulos https://t.co/7ekCa9d39d a través de diario_16",Twitter for Android,1,0,,,,2014-07-10 07:57:46,4949,6441
57,bbva,2020-10-17 18:08:57,"TRIGO_DORADO Citibanamex BBVA_Mex BancoAzteca Coppel Hola, Trigo Dorado. Buen día. Te comentamos que si hay algo en lo que podamos apoyarte por nuestra parte, quedamos a tu servicio. Saludos.",Twitter Web App,0,0,,,,2010-06-22 22:52:00,25,7945
59,bbva,2020-10-17 18:08:22,DocsMX vivepanasonic BBVA_Mex imcine Creo que la página se cayó porque ya no aparece nada en la sección de participantes.,Twitter Web App,0,0,,,,2014-09-25 17:07:44,1155,279
61,bbva,2020-10-17 18:07:56,"BRULIFER Hola, muy buenas tardes. Te atiende Araceli, mucho gusto. Para que puedas recibir una asesoría especializada a tu solicitud, te invitamos a visitar una de nuestras sucursales BBVA donde uno de nuestros ejecutivos te apoyará. (1/2)",S1Gateway,0,0,,,,2013-03-08 17:25:23,40412,106396
66,bbva,2020-10-17 18:07:29,Que mierda de banco eres BBVA_Mex,Twitter for Android,0,0,,,,2014-11-07 03:06:46,141,31
67,bbva,2020-10-17 18:07:07,"¡LA TARJETA MÁS SEGURA! 🚨  BBVA LANZA TARJETA QUE SOLO TIENE EL NOMBRE DEL CLIENTE.  BBVA presentó su nueva tarjeta Aqua, la cual tiene la peculiaridad de que no tiene ninguna información además del nombre del cliente.  https://t.co/H9pbPhCkTE",Twitter Web App,0,0,,,,2014-04-16 02:54:09,1070,1803
74,bbva,2020-10-17 18:03:21,"_jassonguzmann Same, siempre me transfiero de Santander a bbva y ya de ahí a las cuentas nuevas, ahí si es súper rápido!",Twitter for iPhone,0,1,,,,2010-07-07 00:53:52,110,250
79,bbva,2020-10-17 18:00:31,💻Así es el HackatonBBVA de BBVAInnovation 👍🏼 40 horas ininterrumpidas para resolver por equipos uno de los 12 retos de programación planteados por BBVA trabajando desde casa https://t.co/POVAAZjyTT,Salesforce - Social Studio,0,0,,,,2010-06-03 11:24:01,791,4134
80,bbva,2020-10-17 17:58:26,"Edu_AQP83 DanielOlortiga bbva_peru HenrryVillar Como todas las empresas grandes,  q hacen lo q quieren con sus clientes... si no t gusta, llena tu libro d reclamaciones y espera sentado",Twitter for Android,0,0,,,,2014-05-20 12:44:45,198,137
82,bbva,2020-10-17 17:58:17,"elcompitv ReneFdz Rayados muzquizlamejor Jordy1975 robertoproa PedroPinaLoredo VerdirameSergio RayadoEsPasion CavoRayado rayadodecorazon Antonio_Nelli Pero en el nuevo estadio BBVA , ClubPueblaMX solo ha perdido una ocasión en torneo de LigaBBVAMX  desde su inauguración en 2015. Es curioso por que ambos tienen hegemonía en casa. A la Franja le cuesta mucho ganar en Monterrey , así como a Rayados en la Angelópolis.",Twitter Web App,0,0,,,,2010-04-03 02:21:41,2961,781
85,bbva,2020-10-17 17:57:40,"Hoy la meta es llegar a $200,00 pesos nos faltan $79,475.00 pesos !! Todos los pedacitos de ❤️ salvarán muchas vidas de niños con cáncer  BBVA Bancomer Cuenta: 0110098078 Clabe: 012320001100980784 Campeones de la vida NR AC https://t.co/CPVgQdmVvU",Twitter Web App,38,0,,,,2011-04-13 23:49:08,493,235
87,bbva,2020-10-17 17:57:06,"¿Nos echan una garrita para el tratamiento de Pawa?  Los donativos se reciben en la💳 número 4152 3134 4097 6046, a nombre de Israel Alonso Najera (es de BBVA_Mex).   Aquí la publicación original: https://t.co/k4VWGe7FuZ https://t.co/hPqNGhkh4O",Twitter for Android,27,0,,,,2014-01-03 01:18:12,500,272
88,bbva,2020-10-17 17:56:41,"BBVA, Santander, Caixabank... Qué hay detrás de que la banca tradicional aumente el cobro de comisiones .https://t.co/IgTVMTQtE1 a través de magnet_es",Twitter Web App,0,0,,,,2013-05-02 10:27:52,7786,9332
91,bbva,2020-10-17 17:54:19,"dhgcorrecaminos bbva Ya te digo,solo quieren sacar pasta.Que vergüenza",Twitter for Android,0,0,,,,2019-06-19 11:06:14,204,30
95,bbva,2020-10-17 17:53:06,El cual deposito en BBVA. Y a mi no me aparece el pago en mi cuenta de mercado pago. Que debo de hacer para tenwr mi dinero,Twitter for Android,0,0,,,,2016-01-24 01:05:55,9,0
100,bbva,2020-10-17 18:25:01,Seguimos pidiendo apoyo ecónomico a quienes puedan donar les paso la tarjeta debito Bancomer de Perico6691 4152 3132 9110 8046 y gracias por difundir. Seguiremos actualizando el progreso de Blanquita 🐱 ella se ve con ganas de seguir luchando. Gracias!!! https://t.co/7KBFlNMubi,Twitter for Android,0,0,MX,city,"Apodaca, Nuevo León",2012-06-03 20:12:00,2570,2567
101,bbva,2020-10-17 18:18:16,Asaltaron el Bancomer del cruce de Fresno y Roble en la Colonia El Fresno en Guadalajara este es el ladrón según la empresa https://t.co/27QdRgv4CR,Twitter for Android,3,0,,,,2019-04-23 00:42:03,38,20
104,bbva,2020-10-17 17:46:23,Arranca nuestra campaña de recaudación “Internetón AMANC Michoacán 2020”.  . Súmate con tu donativo a la cuenta: BBVA Bancomer 0106068464 CLABE 012470001060684643 https://t.co/NFdcU7DoYB,Twitter for Android,2,0,,,,2009-08-27 05:27:06,3707,1442
106,bbva,2020-10-17 17:34:12,"cabatita BBVA Bancomer, S.A., Torre Bancomer, ubicada en Avenida Paseo de la Reforma número 510, Colonia Juárez, alcaldía Cuauhtémoc, 06600, Ciudad de México, recaba tus datos verifica tu identidad. El aviso de privacidad integral actualizado está en cualquier sucursal y 1/2",S1Gateway,0,0,,,,2013-03-08 17:25:23,40412,106396
108,bbva,2020-10-17 17:21:13,"fe_men_history fcksuggestions Claro! En este google sheets puedes consultar los números restantes: https://t.co/ophulJZhmQ Si te interesa apoyarme con un boleto, esta es la liga del Moneypool: https://t.co/POWSDxKQHb Mi tarjeta de debito Bancomer a nombre de Fernando Farfán Esponda: 4152 3136 9848 9064",Twitter for iPhone,1,1,,,,2011-04-25 17:36:15,354,241
109,bbva,2020-10-17 17:18:24,"SEDENAmx Actividades fraudulencia aqui Puerto Vallarta contra mio Gordon Robbins y Confianza propiedad Elena Cortez de Brun por Americanos, un mujer Canadensia en el ano 1995 encluyen ayudar de notarios, officiales municipal y BanComer aqui Puerto Vallarta.  Continuaron!",Twitter for Android,0,0,,,,2020-07-11 13:29:36,154,2
112,bbva,2020-10-17 17:01:33,Me cagas Bancomer 🤬,Twitter for iPhone,0,0,,,,2010-03-25 05:43:27,1346,370
113,bbva,2020-10-17 16:55:09,"TakerMetal Igualmente e tenido malas experiencias con Americano Express, pero Bancomer la verdad es que nunca me han defraudado",Twitter for iPhone,0,0,,,,2020-09-15 18:59:54,67,0
116,bbva,2020-10-17 16:50:25,Sabrán de un Bancomer que esté abierto hoy? Que no sea el de la Américas 😌,Twitter for Android,0,0,,,,2018-06-26 18:07:10,478,430
117,bbva,2020-10-17 16:47:16,TakerMetal BBVA BANCOMER we no es lo mejor pero su servicio es un poquito más decente,Twitter for Android,0,5,,,,2020-09-15 20:25:59,116,12
118,bbva,2020-10-17 16:46:08,"TakerMetal No nada, en BBVA BANCOMER es mejor y te notifica por mensaje si se realiza un retiro y depósito",Twitter for Android,0,1,,,,2015-10-18 15:34:04,87,26
120,bbva,2020-10-17 16:36:38,Cierran Bancomer centro por contagio de covid-19 | La Opción de Chihuahua https://t.co/EwCcPVPCJl https://t.co/3DK8xIA9qW,Twitter Web App,0,1,,,,2009-12-14 19:27:51,660,14094
121,bbva,2020-10-17 16:26:10,Checar la app de Bancomer sabiendo que tengo CERO pesos es mi pasión 😂😭,Twitter for iPhone,0,0,,,,2011-08-29 18:21:36,85,86
122,bbva,2020-10-17 16:25:58,"Lev_blxck Tan real, Bancomer deseó que eso pasara con su cambio a BBVA. Aunque ahora que lo pienso, casi han de haber invertido lo mismo en campañas de publicidad JAJAJA",Twitter for Android,0,0,,,,2010-07-04 04:14:12,714,590
127,bbva,2020-10-17 15:45:30,PCTlaquepaque GobTlaquepaque buenos días se están instalando estos juegos en el terreno que se encuentra el 8 de julio casi con periférico Sur a un costado del Bancomer en San sebastianito estaría bien si les dieran una revisada para que no vaya a ver accidentes. Gracias https://t.co/RWkmMWaYeW,Twitter for Android,0,0,,,,2014-05-26 23:53:04,125,51
129,bbva,2020-10-17 15:33:47,"Hoy la meta es llegar a $200,00 pesos nos faltan $79,475.00 pesos !! Todos los pedacitos de ❤️ salvarán muchas vidas de niños con cáncer  BBVA Bancomer Cuenta: 0110098078 Clabe: 012320001100980784 Campeones de la vida NR AC NARIZROJAAC https://t.co/uM4HOMTCtU",Twitter for Android,0,0,,,,2020-09-01 05:54:43,144,65
154,bbva,2020-10-17 13:37:17,Tráfico extremo en caminó a San Pablo desde pintumex al Bancomer Se están desviado para San José los cerritos y atascada la entrada de central de abastos en esa entrada TraficoPuebla viaCICpue dirtransitopue,Twitter for Android,0,0,,,,2017-10-10 03:04:30,736,5034
155,bbva,2020-10-17 13:22:20,pinche Bancomer te odio y yo te voy a seguir diciendo Bancomer por el resto de mi vida idiota estúpido banco pendejo estúpido,Twitter for Android,3,0,,,,2012-12-19 00:29:13,334,183
156,bbva,2020-10-17 13:15:00,"▶️ ¡Próximos partidos!  📺 Monterrey - Puebla 🏅 LigaBBVAMX | Jornada 14 🗓️ 17/10 ⏰ 07:06pm - UTC-3 🏟️ Estadio BBVA Bancomer, Monterrey  FamiliaBallon ⚽️ https://t.co/pZbM2jKF5R",Twitter Web App,0,0,,,,2020-02-17 14:43:41,70,41
157,bbva,2020-10-17 13:14:45,Hoy💥Promo💥SOLO  SEGUIDORES DE CAACALCO ECATEPEC  VIAMORELOS SANCRISTOBAL  C: ABASTOS 💥$700💥 💅Masajito Relajante 💅Erotico estimulación Oral yVaginal🎈8:AM-7:Tarde  Agenda Previo depósito$100 Cuenta 💳4152313513726534 Bancomer Oxxo tu cita hora y día LLama 5515886339 https://t.co/9I64RrAf7E,Twitter for Android,1,26,,,,2016-11-04 22:17:49,116,94330
158,bbva,2020-10-17 13:06:38,"Soyfurrr Bancomer, te resuelven rapidísimo todo, nunca he tenido problemas con ellos",Twitter for iPhone,0,0,,,,2011-07-12 02:31:12,348,45
159,bbva,2020-10-17 12:57:35,Aaaaaaahhh Bancomer y su mamada de huella facial 😡😡😡😡,Twitter for iPhone,0,2,,,,2019-10-27 19:08:22,124,159
160,bbva,2020-10-17 12:30:11,"Cuando una tarjeta de Bancomer está ""apagada"" no recibe depósitos realizados en un pinche Oxxo!!!!",Twitter for Android,0,0,,,,2020-01-05 16:53:52,290,77
162,bbva,2020-10-17 07:31:02,"Dolar en México al dia: 17/10/2020, 7:30 am: Bancomer: Compra $20.49 - Venta $21.39 Scotiabank: Compra $20.60 - Venta $22.90 Santander: Compra $21.13 - Venta $21.15 Ver precio de todos los Bancos... https://t.co/YxhLXo2mo8",dlvr.it,1,0,,,,2014-08-08 20:45:05,1274,3599
163,bbva,2020-10-17 07:18:37,"Quiero sacar mi tarjeta, pero no sé cuál es mejor si Santander o Bancomer? Ustedes cuál prefieren?   Help me, please!!!!",Twitter for Android,0,0,,,,2016-09-26 07:02:28,2570,1970
164,bbva,2020-10-17 06:01:26,BBVA_Mex Cuando llevaran más nuevas tarjetas de Bancomer donde cambian CVV,Twitter for iPhone,0,0,,,,2011-09-05 22:32:20,701,168
165,bbva,2020-10-17 04:39:55,"Hoy estamos ante la batalla más importante de nuestras vidas,  nuestros niños y adultos pelean contra el cáncer sin medicina y necesitan de todos nosotros.  Donativos BBVA Bancomer 0110098078 Clabe: 012320001100980784 Campeones de la vida NR AC https://t.co/BiCYOGHFfz",Twitter for iPhone,1,0,,,,2018-05-23 15:50:39,742,64
166,bbva,2020-10-17 04:10:34,isoygera Eso es en Banorte creo jajaja me pasó en Bancomer U.U 👎🏻,Twitter for iPhone,0,0,,,,2018-01-28 19:16:58,127,131
167,bbva,2020-10-17 03:56:56,"TheyCallMeHelll mongry18 Cesar88Game No trabajo en ningún banco (Dios me libre), quizá tú si, pero por si no sabias BBVA antes Bancomer es el banco que históricamente más ha robado a los usuarios, y ni se diga en su banca móvil, son miles de millones de pesos, hay muchas investigaciones al respecto desde hace años",Twitter for Android,0,0,,,,2013-07-28 13:47:23,286,93
168,bbva,2020-10-17 02:42:02,"MPaaaan Para adquirir tu careta si vives en la Ciudad de Puebla puedes pagar al momento de la entrega, de no ser así puedes hacer el pago a:  Bancomer 4152 3134 8205 3803 PayPal https://t.co/MP7qxN102w Enviarnos tu comprobante de pago junto con tus datos de envío,nombre, tel y dirección",Twitter for Android,0,0,,,,2020-10-16 21:17:34,74,10
169,bbva,2020-10-17 01:35:07,"eduardotrelles Siempre llamaré Bancomer a BBVA así que le llamen como le llamen siempre será el Azteca, si aquí a la vuelta donde vivo cambiaron a la Comer por Soriana, y cuando vamos al Soriana, siempre decimos vas a ir a la Comer o vamos a la Comer por despensa nunca Soriana. 🤷🏻‍♂️",Twitter for Android,0,5,,,,2020-02-25 05:26:00,1491,1389
170,bbva,2020-10-17 01:25:06,lapencion No es el estacionamiento que esta entre el bancomer y la clinica del issste?,Twitter for Android,0,0,,,,2011-08-29 17:47:36,2815,281
171,bbva,2020-10-17 01:21:45,Acaba de publicar una foto en Torre Bancomer Reforma https://t.co/0DislCONEJ,Instagram,0,0,MX,city,"Cuauhtémoc, Distrito Federal",2014-12-29 01:06:58,1136,83
172,bbva,2020-10-17 01:10:36,"Erwinsanz1 HuaweiMobileMx BBVA_Mex AppGallery La cosa es que para mi el de Bancomer es el mejor y me sorprende que sea de los únicos que no puesto la app y preocupa porque se viene el buen fin y si no hay, no podré comprar Huawei, tendré que conformar con el S20 de samsung",Twitter for Android,0,0,,,,2009-06-28 01:28:09,116,24
174,bbva,2020-10-17 00:56:02,"Bancomer de Atoyac le robó su dinero, denuncia luchadora social https://t.co/fhliHh3uPO a través de LaPlazaDiario Bancomer Atoyac Guerrero LuchadoraSocial Estafa https://t.co/mfabvd03Ve",Twitter Web App,0,0,,,,2014-11-04 18:28:38,239,1073
175,bbva,2020-10-17 00:37:50,Denuncia luchadora social que Bancomer de Atoyac le robó su dinero https://t.co/U9W2TIo3Zy,WordPress.com,0,0,,,,2019-06-29 18:03:55,0,210
176,bbva,2020-10-17 00:32:57,"Aglaee1996 Jajajajajajaja lady bancomer 🤣🤣 ya ves we, es el karma deeee",Twitter for Android,0,0,,,,2019-03-06 22:45:26,132,39
177,bbva,2020-10-17 00:12:35,"HiperQnecia Soyfurrr Súper confirmo, tengo tarjetas con los 3 y Bancomer (me vale que ya no se llame así) es mi fav.",Twitter for Android,0,0,,,,2010-06-24 00:48:36,129,449
178,bbva,2020-10-17 00:08:33,Siempre le tuve fe a banamex pero últimamente bancomer si es el más perron,Twitter for iPhone,0,1,,,,2010-01-31 00:46:25,304,523
179,bbva,2020-10-16 23:53:58,"📊 BAS BasJunio2020 CNSF 📊 A junio de 2020, las 5 participaciones de mercado más grandes de Seguros y Fianzas fueron, Grupo Nacional Provincial, 11.7%; Metlife México, 10.5%; Seguros BBVA Bancomer, 7.6%; AXA Seguros, 7.0% y Seguros Banorte, 5.7% en términos de prima directa.",Twitter for Android,5,0,,,,2020-08-05 19:56:30,11,5
180,bbva,2020-10-16 23:52:15,Asaltaron el Bancomer del cruce de Fresno y Roble en la Colonia El Fresno en Guadalajara este es el ladrón según la empresa https://t.co/pP2NcyeNrB,Twitter for iPhone,6,0,,,,2018-01-06 16:49:51,7,3
184,bbva,2020-10-16 23:15:03,"Germo9810 Hola Germo9810, con gusto le podemos orientar, para un segundo crédito FOVISSSTE tenemos nuestros esquemas de cofinanciamiento como alia2 plus o respaldados, le sugerimos acudir con los bancos HSBC, SANTANDER, SCOTIABANK BANAMEX y BANCOMER con los que se puede ejercer",Twitter Web App,0,0,,,,2010-08-26 18:22:08,197,55520
185,bbva,2020-10-16 22:59:34,TuxtlaSMAPA buena tarde como se que número de convenio es para el pago mediante transferencia bancomer,Twitter for Android,0,0,,,,2018-04-14 20:38:54,313,5
186,bbva,2020-10-16 22:59:11,Jeglemqz Oscar_Dorantes perezhabib Ahora... Si es azul puedo ser asesor ejecutivo de Bancomer.,Twitter for iPhone,0,3,MX,city,"Cuernavaca, Morelos",2020-03-13 01:03:59,467,99
187,bbva,2020-10-16 22:58:47,"CherrvBomv Una vez me siguieron desde mi casa, a Bancomer y de regreso. Se quedaron afuera de mi casa como por 2–3 horas esperando a que un amigo de la familia se fuera y nos dejara con mis hermanitos (mis papás salieron de viaje y yo era la mayor) tlj que fue un sentimiento mega horrible",Twitter for iPhone,0,3,,,,2019-01-27 03:04:06,394,494
188,bbva,2020-10-16 22:42:50,"Montse_Cova Espera, ¿Bancomer ya no es Bancomer?",Twitter for Android,0,0,,,,2010-07-22 01:40:47,434,490
189,bbva,2020-10-16 22:27:59,"BBVA_Mex hola buen día acabo de retirar dinero de un cajero Bancomer y por accidente acepte un seguro y no lo quiero, que hago?",Twitter for Android,0,0,,,,2013-06-01 00:53:21,25,9
190,bbva,2020-10-16 22:27:09,"alexespino77 Hola alexespino77, para un segundo crédito FOVISSSTE tenemos nuestros esquemas cofinanciados como alia2 plus o respaldados, le sugerimos acudir con los bancos HSBC, SANTANDER, SCOTIABANK BANAMEX y BANCOMER con los que se puede ejercer, para indicarles que desea solicitarlo",Twitter Web App,0,1,,,,2010-08-26 18:22:08,197,55520
191,bbva,2020-10-16 22:17:11,CondusefMX buenas tardes quisiera me pudieran asesorar un problema con Bancomer y que puedo hacer !! Gracias,Twitter for Android,0,0,,,,2019-07-03 21:55:43,423,14
192,bbva,2020-10-16 22:00:13,"Recuerda que también puedes realizar el pago de tus servicios en Banorte, Bancomer y Santander. https://t.co/5KjLXWRkWH",Hootsuite Inc.,0,0,,,,2016-06-02 03:09:14,83,3001
193,bbva,2020-10-16 21:56:35,"SritaLoera Soyfurrr Lo malo es que la app de Bancomer necesitas a fuerza poner el reconocimiento facial, si está chida la idea, pero NO....",Twitter for Android,0,0,,,,2019-08-26 00:20:30,309,182
194,bbva,2020-10-16 21:45:12,"esearielxD SritaLoera Soyfurrr La verdad que sí es muy buena, no le pide nada a la de Bancomer. Solo porque no es tan popular pero sí es buenísima.",Twitter for Android,0,1,,,,2010-01-25 21:24:15,332,352
195,bbva,2020-10-16 21:36:11,"Utilizo Bancomer desde hace ya varios años, sencillo su app y sus cajeros, porque Citibanamex es tan complicado todo, cajeros lentos, sistemas caídos, sucursales cerradas, apps súper tediosas, altas de cuentas etc, aprendanle algo a sus competidores españoles",Twitter for Android,0,0,MX,city,"Apodaca, Nuevo León",2008-12-18 03:33:32,577,237
196,bbva,2020-10-16 21:31:59,"Realiza tu depósito  en la cuenta: 4152 3136 9829 5180 BBV BANCOMER a nombre de Margarita Hernández Soto. Enviar foto de tu depósito o transferencia a  WhatsApp 6141429942 o al 6141788970,  anexa tu nombre completo y cómo aparecerás en ZOOM.  Se te dará el ID y código de acceso https://t.co/vAKZflHnJo",Twitter Web App,0,0,,,,2020-03-19 22:40:23,372,89
197,bbva,2020-10-16 21:18:11,RotzAlvarez Estaba en Bancomer JAJAJAJAJA,Twitter for Android,0,0,,,,2009-04-22 02:25:55,640,333
198,bbva,2020-10-16 21:06:08,"Soyfurrr Pues en Bancomer, los mismos del banco me hackearon y me chingaron 40 mil y en Banamex la mismita historia y me chingaron 130 mil... la neta con el único que he tenido buena experiencia ha sido con Santander",Twitter for iPhone,0,0,,,,2010-01-20 01:25:16,234,1220
199,bbva,2020-10-16 21:00:41,"FdoSolar y un segundo pago no cubierto de $16,315 que se tienen que depositar al numero de tarjeta 4152313698462194 Bancomer. Una vil estafa para quien no sabe.",Twitter for Android,0,0,,,,2014-09-02 05:13:22,145,29
200,citibanamex,2020-10-17 18:28:02,Necesito saber si hay alguna sucursal Banamex abierta en Sábado en el área de Veracruz Boca del Río,Twitter Web App,0,0,,,,2020-10-17 18:22:43,0,0
201,citibanamex,2020-10-17 17:47:18,sugafullofstars Pudiera haber llamadas en espera por contingencia  https://t.co/zGiLpjzTa3  ¿Con la información proporcionada fue resuelto tu requerimiento?  Saludos.-CT,Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
202,citibanamex,2020-10-17 17:28:50,"ContactoCitibmx d nada sirve facilitarnos trámites en línea, si los ejecutivos x obtener comisión no los respetan. Me autorizaron 1 tarjeta Cotsco Banamex, fui a recogerla a Cotsco Mixcoac y me dijeron que tenían q tramitará d cero, admitiendo q era para q obtuvieran la comision",Twitter for Android,0,0,,,,2016-10-04 19:22:06,107,18
203,citibanamex,2020-10-17 17:22:49,"Fundación Carlos Slim (vacunas, donativos para mantener el centro banamex para atender enfermos, etc.); Fundación Televisa (donativos para insumos, atención de enfermos en centros teletón,etc.); Ricardo Salinas Pliego...... (""Nos tiene que dar a todos y vamos a estar bien"")",Twitter for iPhone,1,0,,,,2019-06-10 13:41:27,920,602
204,citibanamex,2020-10-17 17:22:20,"Robinergaglez Es necesario comunicarse a nuestro Centro de Atención Telefónica de Seguros Banamex: ·             De la Ciudad de México al 1 226 8100 ·             De otra ciudad al 01800 888 3676. Horarios: Lunes a Viernes 7:00 a 20:00, Sábado y Domingo 7:00 a 18:30.",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
205,citibanamex,2020-10-17 17:20:07,.Fund_CarlosSlim anuncia donación de 90 MDP para ampliar hasta diciembre atención en la Unidad Temporal Covid-19 en centro Banamex Torreon https://t.co/Z9ny5j60iH,Twitter for iPhone,1,0,,,,2019-06-10 13:41:27,920,602
206,citibanamex,2020-10-17 17:19:43,Esta inversión permitirá que la unidad médica se mantenga abierta hasta diciembre próximo. https://t.co/oj1VPUrr5q,Twitter for iPhone,2,0,,,,2019-06-10 13:41:27,920,602
207,citibanamex,2020-10-17 17:16:06,Hugoever_d sucursales abiertas en https://t.co/7qVEs4vArY  ¿Por que motivo te comentaron que solo le pondrían un candado?  Saludos. CT,Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
